Date,High Temp: Actual,High Temp: Historic Avg,High Temp: Record,Low Temp: Actual,Low Temp: Historic Avg,Low Temp: Record,Day Average Temp: Actual,Day Average Temp: Historic Avg,Day Average Temp: Record,Precipitation (past 24 hours from 00:10:00): Actual,Precipitation (past 24 hours from 00:10:00): Historic Avg,Precipitation (past 24 hours from 00:10:00): Record,Dew Point: Actual,Dew Point: Historic Avg,Dew Point: Record,High: Actual,High: Historic Avg,High: Record,Low: Actual,Low: Historic Avg,Low: Record,Average: Actual,Average: Historic Avg,Average: Record,Max Wind Speed: Actual,Max Wind Speed: Historic Avg,Max Wind Speed: Record,Visibility: Actual,Visibility: Historic Avg,Visibility: Record,Sea Level Pressure: Actual,Sea Level Pressure: Historic Avg,Sea Level Pressure: Record
2023-05-01,88.0,91.5,,82.0,79.3,,85.41,85.0,,0.0,,,70.35,,,73.0,,,64.0,,,70.35,,,14.0,,,3.0,,,29.76,,
2023-05-02,91.0,91.6,,82.0,79.4,,86.14,86.0,,0.0,,,71.78,,,73.0,,,68.0,,,71.78,,,14.0,,,4.0,,,29.79,,
2023-05-03,90.0,91.6,,82.0,79.6,,86.38,86.0,,0.0,,,72.35,,,75.0,,,70.0,,,72.35,,,13.0,,,3.0,,,29.82,,
2023-05-04,90.0,91.7,,81.0,79.7,,86.05,86.0,,0.0,,,73.62,,,75.0,,,72.0,,,73.62,,,14.0,,,3.0,,,29.79,,
2023-05-05,90.0,91.8,,82.0,79.8,,86.11,86.0,,0.0,,,74.19,,,77.0,,,70.0,,,74.19,,,15.0,,,3.0,,,29.76,,
2023-05-06,90.0,91.8,,82.0,79.9,,86.97,86.0,,0.0,,,74.03,,,75.0,,,72.0,,,74.03,,,15.0,,,3.0,,,29.79,,
2023-05-07,90.0,91.9,,84.0,80.0,,86.92,86.0,,0.0,,,75.16,,,77.0,,,73.0,,,75.16,,,15.0,,,3.0,,,29.79,,
2023-05-08,91.0,91.9,,84.0,80.1,,87.41,86.0,,0.0,,,77.22,,,79.0,,,73.0,,,77.22,,,13.0,,,3.0,,,29.76,,
2023-05-09,91.0,92.0,,84.0,80.2,,87.76,86.0,,0.0,,,76.76,,,81.0,,,72.0,,,76.76,,,13.0,,,3.0,,,29.79,,
2023-05-10,91.0,92.0,,84.0,80.3,,88.51,86.0,,0.0,,,80.43,,,82.0,,,77.0,,,80.43,,,15.0,,,3.0,,,29.73,,
2023-05-11,95.0,92.1,,84.0,80.4,,89.0,86.0,,0.0,,,81.03,,,84.0,,,79.0,,,81.03,,,14.0,,,3.0,,,29.76,,
2023-05-12,95.0,92.1,,84.0,80.4,,88.78,86.0,,0.0,,,79.95,,,82.0,,,75.0,,,79.95,,,14.0,,,2.0,,,29.79,,
2023-05-13,93.0,92.1,,84.0,80.5,,89.38,86.0,,0.0,,,80.15,,,81.0,,,79.0,,,80.15,,,15.0,,,3.0,,,29.79,,
2023-05-14,86.0,92.1,,84.0,80.6,,85.33,86.0,,0.0,,,79.0,,,79.0,,,79.0,,,79.0,,,10.0,,,2.0,,,29.73,,
2023-05-15,91.0,92.1,,86.0,80.6,,88.68,86.0,,0.0,,,78.57,,,81.0,,,77.0,,,78.57,,,15.0,,,3.0,,,29.82,,
2023-05-16,93.0,92.1,,86.0,80.6,,89.32,86.0,,0.0,,,77.92,,,79.0,,,77.0,,,77.92,,,14.0,,,3.0,,,29.85,,
2023-05-17,93.0,92.1,,84.0,80.7,,88.89,86.0,,0.0,0.1,,77.43,,,81.0,,,75.0,,,77.43,,,14.0,,,3.0,,,29.85,,
2023-05-18,93.0,92.1,,84.0,80.7,,88.35,86.0,,0.0,0.1,,77.92,,,79.0,,,75.0,,,77.92,,,14.0,,,4.0,,,29.9,,
2023-05-19,93.0,92.1,,84.0,80.7,,88.19,86.0,,0.0,0.1,,78.39,,,81.0,,,77.0,,,78.39,,,13.0,,,4.0,,,29.85,,
2023-05-20,91.0,92.0,,84.0,80.7,,88.14,86.0,,0.0,0.1,,77.11,,,79.0,,,75.0,,,77.11,,,15.0,,,3.0,,,29.82,,
2023-05-21,93.0,92.0,,84.0,80.7,,87.94,86.0,,0.0,0.1,,76.12,,,79.0,,,73.0,,,76.12,,,16.0,,,3.0,,,29.85,,
2023-05-22,91.0,92.0,,84.0,80.7,,87.78,86.0,,0.0,0.2,,76.51,,,79.0,,,73.0,,,76.51,,,15.0,,,3.0,,,29.87,,
2023-05-23,93.0,91.9,,84.0,80.7,,88.43,86.0,,0.0,0.2,,76.97,,,79.0,,,72.0,,,76.97,,,16.0,,,3.0,,,29.87,,
2023-05-24,93.0,91.8,,84.0,80.7,,88.41,86.0,,0.0,0.2,,76.95,,,79.0,,,75.0,,,76.95,,,15.0,,,3.0,,,29.85,,
