Date,High Temp: Actual,High Temp: Historic Avg,High Temp: Record,Low Temp: Actual,Low Temp: Historic Avg,Low Temp: Record,Day Average Temp: Actual,Day Average Temp: Historic Avg,Day Average Temp: Record,Precipitation (past 24 hours from 00:10:00): Actual,Precipitation (past 24 hours from 00:10:00): Historic Avg,Precipitation (past 24 hours from 00:10:00): Record,Dew Point: Actual,Dew Point: Historic Avg,Dew Point: Record,High: Actual,High: Historic Avg,High: Record,Low: Actual,Low: Historic Avg,Low: Record,Average: Actual,Average: Historic Avg,Average: Record,Max Wind Speed: Actual,Max Wind Speed: Historic Avg,Max Wind Speed: Record,Visibility: Actual,Visibility: Historic Avg,Visibility: Record,Sea Level Pressure: Actual,Sea Level Pressure: Historic Avg,Sea Level Pressure: Record
2015-08-01,88.0,85.3,0.0,82.0,77.0,0.0,84.58,81.0,0.0,0.0,0.8,0.0,77.58,0.0,0.0,79.0,0.0,0.0,77.0,0.0,0.0,77.58,0.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,29.81,0.0,0.0
2015-08-02,88.0,85.3,0.0,82.0,77.0,0.0,84.97,81.0,0.0,0.0,0.8,0.0,77.29,0.0,0.0,79.0,0.0,0.0,75.0,0.0,0.0,77.29,0.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,29.84,0.0,0.0
2015-08-03,88.0,85.3,0.0,82.0,77.0,0.0,84.4,81.0,0.0,0.0,0.7,0.0,76.0,0.0,0.0,79.0,0.0,0.0,72.0,0.0,0.0,76.0,0.0,0.0,18.0,0.0,0.0,4.0,0.0,0.0,29.78,0.0,0.0
2015-08-04,86.0,85.3,0.0,82.0,77.0,0.0,84.17,81.0,0.0,0.0,0.7,0.0,76.31,0.0,0.0,77.0,0.0,0.0,75.0,0.0,0.0,76.31,0.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,29.75,0.0,0.0
2015-08-05,84.0,85.3,0.0,82.0,77.0,0.0,82.35,81.0,0.0,0.0,0.7,0.0,77.47,0.0,0.0,79.0,0.0,0.0,77.0,0.0,0.0,77.47,0.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,29.75,0.0,0.0
2015-08-06,86.0,85.3,0.0,81.0,76.9,0.0,83.43,81.0,0.0,0.0,0.7,0.0,78.14,0.0,0.0,79.0,0.0,0.0,75.0,0.0,0.0,78.14,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,29.69,0.0,0.0
2015-08-07,88.0,85.3,0.0,81.0,76.9,0.0,84.3,81.0,0.0,0.0,0.7,0.0,77.73,0.0,0.0,79.0,0.0,0.0,75.0,0.0,0.0,77.73,0.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,29.72,0.0,0.0
2015-08-08,86.0,85.3,0.0,79.0,76.9,0.0,82.29,81.0,0.0,0.0,0.7,0.0,76.35,0.0,0.0,79.0,0.0,0.0,73.0,0.0,0.0,76.35,0.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,29.72,0.0,0.0
2015-08-09,86.0,85.3,0.0,77.0,76.9,0.0,81.39,81.0,0.0,0.0,0.7,0.0,76.7,0.0,0.0,79.0,0.0,0.0,75.0,0.0,0.0,76.7,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,29.66,0.0,0.0
2015-08-10,84.0,85.3,0.0,77.0,76.9,0.0,80.18,81.0,0.0,0.0,0.7,0.0,76.82,0.0,0.0,79.0,0.0,0.0,75.0,0.0,0.0,76.82,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,29.69,0.0,0.0
2015-08-11,86.0,85.3,0.0,79.0,76.9,0.0,82.88,81.0,0.0,0.0,0.7,0.0,76.33,0.0,0.0,79.0,0.0,0.0,73.0,0.0,0.0,76.33,0.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,29.75,0.0,0.0
2015-08-12,86.0,85.3,0.0,79.0,76.9,0.0,82.3,81.0,0.0,0.0,0.7,0.0,76.15,0.0,0.0,79.0,0.0,0.0,73.0,0.0,0.0,76.15,0.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,29.75,0.0,0.0
2015-08-13,86.0,85.3,0.0,81.0,76.8,0.0,83.37,81.0,0.0,0.0,0.7,0.0,76.67,0.0,0.0,79.0,0.0,0.0,75.0,0.0,0.0,76.67,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,29.72,0.0,0.0
2015-08-14,86.0,85.3,0.0,81.0,76.8,0.0,83.53,81.0,0.0,0.0,0.7,0.0,77.13,0.0,0.0,79.0,0.0,0.0,75.0,0.0,0.0,77.13,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,29.72,0.0,0.0
