Date,High Temp: Actual,High Temp: Historic Avg,High Temp: Record,Low Temp: Actual,Low Temp: Historic Avg,Low Temp: Record,Day Average Temp: Actual,Day Average Temp: Historic Avg,Day Average Temp: Record,Precipitation (past 24 hours from 00:10:00): Actual,Precipitation (past 24 hours from 00:10:00): Historic Avg,Precipitation (past 24 hours from 00:10:00): Record,Dew Point: Actual,Dew Point: Historic Avg,Dew Point: Record,High: Actual,High: Historic Avg,High: Record,Low: Actual,Low: Historic Avg,Low: Record,Average: Actual,Average: Historic Avg,Average: Record,Max Wind Speed: Actual,Max Wind Speed: Historic Avg,Max Wind Speed: Record,Visibility: Actual,Visibility: Historic Avg,Visibility: Record,Sea Level Pressure: Actual,Sea Level Pressure: Historic Avg,Sea Level Pressure: Record
2022-09-01,90.0,85.8,,77.0,76.7,,84.43,81.0,,0.0,0.5,,78.08,,,81.0,,,75.0,,,78.08,,,15.0,,,2.0,,,29.73,,
2022-09-02,91.0,85.9,,81.0,76.7,,85.73,81.0,,0.0,0.5,,79.97,,,82.0,,,77.0,,,79.97,,,13.0,,,3.0,,,29.73,,
2022-09-03,90.0,85.9,,81.0,76.7,,86.05,81.0,,0.0,0.5,,80.95,,,82.0,,,79.0,,,80.95,,,14.0,,,2.0,,,29.73,,
2022-09-04,88.0,86.0,,77.0,76.7,,83.7,81.0,,0.0,0.5,,80.11,,,82.0,,,77.0,,,80.11,,,13.0,,,2.0,,,29.76,,
2022-09-05,88.0,86.1,,82.0,76.7,,84.54,81.0,,0.0,0.5,,78.41,,,79.0,,,75.0,,,78.41,,,14.0,,,3.0,,,29.79,,
2022-09-06,90.0,86.1,,81.0,76.8,,84.78,82.0,,0.0,0.5,,76.78,,,81.0,,,73.0,,,76.78,,,14.0,,,3.0,,,29.76,,
2022-09-07,90.0,86.2,,77.0,76.8,,83.97,82.0,,0.0,0.5,,79.97,,,81.0,,,77.0,,,79.97,,,15.0,,,2.0,,,29.73,,
2022-09-08,90.0,86.3,,79.0,76.8,,82.73,82.0,,0.0,0.5,,79.08,,,82.0,,,77.0,,,79.08,,,14.0,,,2.0,,,29.7,,
2022-09-09,88.0,86.3,,79.0,76.8,,83.38,82.0,,0.0,0.5,,79.3,,,82.0,,,77.0,,,79.3,,,10.0,,,2.0,,,29.67,,
2022-09-10,90.0,86.4,,79.0,76.8,,83.68,82.0,,0.0,0.5,,78.89,,,81.0,,,75.0,,,78.89,,,9.0,,,3.0,,,29.67,,
2022-09-11,88.0,86.5,,79.0,76.8,,84.11,82.0,,0.0,0.4,,79.89,,,82.0,,,77.0,,,79.89,,,13.0,,,1.0,,,29.61,,
2022-09-12,86.0,86.6,,79.0,76.8,,82.73,82.0,,0.0,0.4,,79.76,,,81.0,,,79.0,,,79.76,,,12.0,,,2.0,,,29.55,,
2022-09-13,82.0,86.7,,77.0,76.8,,80.51,82.0,,0.0,0.4,,78.95,,,81.0,,,77.0,,,78.95,,,15.0,,,1.0,,,29.64,,
2022-09-14,84.0,86.8,,79.0,76.8,,82.08,82.0,,0.0,0.4,,79.24,,,82.0,,,77.0,,,79.24,,,17.0,,,1.0,,,29.73,,
2022-09-15,84.0,86.9,,79.0,76.8,,81.73,82.0,,0.0,0.4,,79.16,,,81.0,,,77.0,,,79.16,,,17.0,,,1.0,,,29.76,,
2022-09-16,82.0,87.0,,77.0,76.8,,80.03,82.0,,0.0,0.4,,78.35,,,81.0,,,77.0,,,78.35,,,15.0,,,1.0,,,29.73,,
2022-09-17,86.0,87.1,,79.0,76.8,,82.08,82.0,,0.0,0.4,,78.24,,,81.0,,,77.0,,,78.24,,,17.0,,,1.0,,,29.73,,
2022-09-18,81.0,87.2,,75.0,76.9,,78.68,82.0,,0.0,0.4,,76.84,,,79.0,,,75.0,,,76.84,,,13.0,,,2.0,,,29.79,,
2022-09-19,82.0,87.3,,75.0,76.9,,78.3,82.0,,0.0,0.4,,75.38,,,77.0,,,73.0,,,75.38,,,12.0,,,1.0,,,29.82,,
2022-09-20,84.0,87.5,,75.0,76.9,,79.08,82.0,,0.0,0.4,,75.81,,,77.0,,,73.0,,,75.81,,,12.0,,,2.0,,,29.79,,
2022-09-21,79.0,87.6,,75.0,76.9,,77.38,82.0,,0.0,0.3,,74.51,,,77.0,,,73.0,,,74.51,,,12.0,,,2.0,,,29.82,,
2022-09-22,79.0,87.7,,73.0,76.9,,75.38,82.0,,0.0,0.3,,73.49,,,75.0,,,70.0,,,73.49,,,9.0,,,1.0,,,29.82,,
2022-09-23,86.0,87.8,,75.0,76.9,,81.05,82.0,,0.0,0.3,,75.49,,,77.0,,,73.0,,,75.49,,,13.0,,,3.0,,,29.82,,
2022-09-24,86.0,88.0,,77.0,76.9,,81.95,83.0,,0.0,0.3,,77.97,,,81.0,,,77.0,,,77.97,,,14.0,,,3.0,,,29.79,,
2022-09-25,86.0,88.1,,77.0,76.9,,82.11,83.0,,0.0,0.3,,76.95,,,79.0,,,75.0,,,76.95,,,13.0,,,3.0,,,29.79,,
2022-09-26,86.0,88.2,,79.0,77.0,,81.73,83.0,,0.0,0.3,,77.19,,,84.0,,,73.0,,,77.19,,,13.0,,,3.0,,,29.85,,
2022-09-27,86.0,88.4,,81.0,77.0,,82.38,83.0,,0.0,0.3,,76.19,,,79.0,,,73.0,,,76.19,,,10.0,,,2.0,,,29.79,,
2022-09-28,86.0,88.5,,79.0,77.0,,82.73,83.0,,0.0,0.3,,78.24,,,79.0,,,75.0,,,78.24,,,13.0,,,2.0,,,29.76,,
2022-09-29,86.0,88.6,,81.0,77.0,,83.11,83.0,,0.0,0.2,,78.46,,,81.0,,,75.0,,,78.46,,,13.0,,,1.0,,,29.76,,
2022-09-30,90.0,88.7,,81.0,77.0,,85.41,83.0,,0.0,0.2,,79.86,,,82.0,,,79.0,,,79.86,,,16.0,,,2.0,,,29.76,,
2022-10-02,88.0,89.0,,81.0,77.0,,84.49,83.0,,0.0,0.2,,77.27,,,79.0,,,75.0,,,77.27,,,15.0,,,3.0,,,29.82,,
2022-10-03,88.0,89.1,,81.0,77.0,,84.46,83.0,,0.0,0.2,,75.43,,,77.0,,,73.0,,,75.43,,,14.0,,,3.0,,,29.82,,
2022-10-04,90.0,89.3,,79.0,77.0,,85.16,83.0,,0.0,0.2,,77.65,,,79.0,,,75.0,,,77.65,,,14.0,,,3.0,,,29.82,,
2022-10-05,88.0,89.4,,82.0,76.9,,84.86,83.0,,0.0,0.2,,79.7,,,81.0,,,79.0,,,79.7,,,14.0,,,2.0,,,29.79,,
2022-10-06,86.0,89.5,,82.0,76.9,,83.62,83.0,,0.0,0.2,,78.84,,,81.0,,,75.0,,,78.84,,,12.0,,,2.0,,,29.73,,
2022-10-07,84.0,89.6,,77.0,76.9,,80.46,83.0,,0.0,0.2,,78.95,,,81.0,,,77.0,,,78.95,,,13.0,,,1.0,,,29.67,,
2022-10-08,84.0,89.8,,73.0,76.9,,79.78,83.0,,0.0,0.1,,77.54,,,79.0,,,73.0,,,77.54,,,12.0,,,2.0,,,29.76,,
2022-10-09,88.0,89.9,,79.0,76.9,,83.27,83.0,,0.0,0.1,,76.57,,,79.0,,,73.0,,,76.57,,,10.0,,,3.0,,,29.82,,
2022-10-10,88.0,90.0,,79.0,76.8,,83.89,84.0,,0.0,0.1,,78.78,,,81.0,,,77.0,,,78.78,,,14.0,,,2.0,,,29.85,,
2022-10-11,88.0,90.1,,79.0,76.8,,83.41,84.0,,0.0,0.1,,78.68,,,81.0,,,75.0,,,78.68,,,15.0,,,2.0,,,29.82,,
2022-10-12,88.0,90.2,,79.0,76.8,,82.81,84.0,,0.0,0.1,,78.03,,,81.0,,,77.0,,,78.03,,,12.0,,,1.0,,,29.82,,
2022-10-13,88.0,90.3,,77.0,76.7,,82.19,84.0,,0.0,0.1,,77.43,,,79.0,,,75.0,,,77.43,,,17.0,,,1.0,,,29.82,,
2022-10-14,91.0,90.4,,73.0,76.7,,82.41,84.0,,0.0,0.1,,75.0,,,77.0,,,70.0,,,75.0,,,23.0,,,2.0,,,29.82,,
2022-10-15,93.0,90.5,,77.0,76.6,,85.95,84.0,,0.0,0.1,,68.78,,,77.0,,,61.0,,,68.78,,,12.0,,,3.0,,,29.82,,
2022-10-16,95.0,90.6,,82.0,76.6,,88.57,84.0,,0.0,0.1,,64.89,,,73.0,,,57.0,,,64.89,,,13.0,,,3.0,,,29.82,,
2022-10-17,91.0,90.7,,82.0,76.5,,85.65,84.0,,0.0,0.1,,75.54,,,81.0,,,70.0,,,75.54,,,12.0,,,3.0,,,29.85,,
2022-10-18,88.0,90.8,,81.0,76.5,,84.14,84.0,,0.0,0.1,,78.14,,,79.0,,,73.0,,,78.14,,,13.0,,,2.0,,,29.87,,
2022-10-19,88.0,90.8,,79.0,76.4,,84.68,84.0,,0.0,0.1,,78.3,,,79.0,,,77.0,,,78.3,,,13.0,,,2.0,,,29.85,,
2022-10-20,90.0,90.9,,81.0,76.3,,85.65,84.0,,0.0,0.1,,79.11,,,81.0,,,77.0,,,79.11,,,12.0,,,2.0,,,29.85,,
2022-10-21,91.0,91.0,,82.0,76.2,,86.08,84.0,,0.0,0.1,,78.46,,,81.0,,,77.0,,,78.46,,,12.0,,,2.0,,,29.9,,
